分区名称,JBZHPYQ(江北镇海)
分区15包含概湖个数(个),14
分区15包含概湖的名称,G184,G185,G186,G187,G188,G189,G190,G191,G192,G193,G194,G195,G196,G197
分区15包含概湖对应的面积(m2),15.6665,5.6121,23.7693,7.5132,19.8382,4.8877,9.8015,11.1292,65.3439,13.9503,41.4385,71.1979,10.9758,1.7785
分区15总面积(m2),302.9026
分区15包含概湖对应的百分比,5.17,1.85,7.85,2.48,6.55,1.61,3.24,3.67,21.57,4.61,13.68,23.51,3.62,0.59
