分区名称,SYPYQ(绍虞)
分区03包含概湖个数(个),46
分区03包含概湖的名称,G027,G029,G030,G031,G032,G033,G034,G035,G036,G037,G039,G040,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G091,G092,G093,G094,G095,G109,G110,G111,G121,G198,G199,G209,G210,G219,G220
分区03包含概湖对应的面积(m2),79.0593,2.4094,10.8038,11.3995,11.3178,11.8638,6.4288,10.3465,2.7341,4.6206,1.0999,5.3832,9.9161,25.74,14.9806,19.404,9.462,36.6876,1.7346,8.6164,24.5143,13.8653,20.169,8.8741,17.4202,11.671,5.7127,19.7228,4.6164,8.3466,15.9349,11.5465,1.5994,30.7324,11.086,5.3887,1.0878,4.7536,20.4051,17.5232,29.8546,37.3684,0.3075,6.4281,28.7331,9.3327,47.7231,292.8504
分区03总面积(m2),991.5759
分区03包含概湖对应的百分比,7.97,0.24,1.09,1.15,1.14,1.20,0.65,1.04,0.28,0.47,0.11,0.54,1.00,2.60,1.51,1.96,0.95,3.70,0.17,0.87,2.47,1.40,2.03,0.89,1.76,1.18,0.58,1.99,0.47,0.84,1.61,1.16,0.16,3.10,1.12,0.54,0.11,0.48,2.06,1.77,3.01,3.77,0.03,0.65,2.90,0.94,4.81,29.53
