水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
,,,,,,,,全省,104800.00000000001,5040.835900000005,1629.1641000000004,6669.999999999996,2586.41,34782.74,52761.45,90130.59,775.7234,24218.016200000002,5077.8804,30071.62,34.5,6121.543199999998,2033.9600000000005,1864.3041999999998,1377.6790999999987,247.1414,12.06,1636.8805,643.3953999999999,90.92070000000001,306.3212,0,98.87270000000002,21.803300000000004,3769.0666467857172,3790.869946785716
水系,所属流域,,,,,行政区,,全省,,人口（万人）,,,国内地区生产总值  （亿元）,,,,工业增加值（亿元）,,,,"火(核)电装机
(万kW)",,"总耕地
面积      （万亩）","有效灌溉
面积   （万亩）",农田实灌面积（万亩）,,,,粮食产量（万吨）,林牧渔面积（万亩）,,,,牲畜(万头),,
